Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Wheel_2_Link,-7.99975482271287E-06,9.20067716002684E-07,-0.00900540410044859,0,0,0,0.0063389736192726,5.96632656166934E-07,1.54212713174445E-10,-2.23098984085339E-10,5.97162219914776E-07,3.55721447944448E-11,9.07903412432404E-07,0,0,0,0,0,0,package://omnirobot/meshes/Wheel_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/Wheel_2_Link.STL,,Ensamblaje1-3/RuedaOficial-1,Coordinate System_W2,Axis_W2,Wheel_2_j,continuous,0.0837132034355965,0.0837132034355966,-0.02,1.5707963267949,0,2.35619449019235,base_link,0,0,-1,,,,,,,,,,,,
R1_2_Link,5.55111512312578E-17,-5.89805981832114E-17,2.16518352136319E-08,0,0,0,0.00124171276885342,3.05874747341281E-08,7.51749514019932E-25,-3.30872245021211E-24,3.05874747341281E-08,1.42569882452228E-24,1.65114577571954E-08,0,0,0,0,0,0,package://omnirobot/meshes/R1_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R1_2_Link.STL,,Ensamblaje1-3/lateral1-6,Coordinate System_R1_2,Axis_R1_2,R1_2_j,continuous,0,0.0133685634596072,-0.0025,0,1.5707963267949,0,Wheel_2_Link,0,0,1,,,,,,,,,,,,
R2_2_Link,5.55111512312578E-17,-1.11022302462516E-16,-1.98386658940841E-08,0,0,0,0.00124171276885342,3.05874747341278E-08,0,-9.55924430107621E-25,3.05874747341278E-08,-1.76868219588939E-25,1.65114577571946E-08,0,0,0,0,0,0,package://omnirobot/meshes/R2_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R2_2_Link.STL,,Ensamblaje1-3/lateral1-8,Coordinate System_R2_2,Axis_R2_2,R2_2_j,continuous,0.0133685634596074,0,-0.0025,1.5707963267949,1.5707963267949,0,Wheel_2_Link,0,0,1,,,,,,,,,,,,
R3_2_Link,0,-8.84708972748172E-17,-1.98386662930705E-08,0,0,0,0.00124171276885342,3.05874747341274E-08,-9.953535056356E-27,8.27180612553028E-25,3.05874747341274E-08,1.55879262470669E-26,1.65114577571941E-08,0,0,0,0,0,0,package://omnirobot/meshes/R3_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R3_2_Link.STL,,Ensamblaje1-3/lateral1-9,Coordinate System_R3_2,Axis_R3_2,R3_2_j,continuous,0,-0.0133685634596072,-0.00250000000000006,3.14159265358979,-1.5707963267949,0,Wheel_2_Link,0,0,1,,,,,,,,,,,,
R4_2_Link,-1.11022302462516E-16,-2.77555756156289E-17,1.98386658958188E-08,0,0,0,0.00124171276885342,3.05874747341277E-08,-1.15805285757424E-23,6.8798389808681E-25,3.05874747341278E-08,1.65416297337148E-25,1.65114577571946E-08,0,0,0,0,0,0,package://omnirobot/meshes/R4_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R4_2_Link.STL,,Ensamblaje1-3/lateral1-7,Coordinate System_R4_2,Axis_R4_2,R4_2_j,continuous,-0.0133685634596074,0,-0.00250000000000006,1.5707963267949,-1.5707963267949,0,Wheel_2_Link,0,0,-1,,,,,,,,,,,,
R5_2_Link,-2.77555756156289E-17,-5.70377078901174E-15,1.69291362456248E-08,0,0,0,0.00124171276885342,3.05874747341274E-08,1.65436122510606E-24,-4.13590306276514E-24,3.05874747341274E-08,1.65436122510606E-24,1.65114577571938E-08,0,0,0,0,0,0,package://omnirobot/meshes/R5_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R5_2_Link.STL,,Ensamblaje1-3/lateral1-2,Coordinate System_R5_2,Axis_R5_2,R5_2_j,continuous,0.00945300499410812,0.00945299875992465,-0.0155,0.785398163397448,1.57079630572147,0,Wheel_2_Link,0,0,-1,,,,,,,,,,,,
R6_2_Link,1.37769240460273E-11,-2.70055383749801E-08,-1.4920541860225E-06,0,0,0,0.00124171276885342,3.05874747341277E-08,8.27180612553028E-25,1.4475660719678E-23,3.05874747341277E-08,-8.68539643180679E-24,1.65114577571945E-08,0,0,0,0,0,0,package://omnirobot/meshes/R6_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R6_2_Link.STL,,Ensamblaje1-3/lateral1-5,Coordinate System_R6_2,Axis_R6_2,R6_2_j,continuous,0.0094631503664131,-0.00946098187260521,-0.0154999999862231,2.357722772005,1.5707963267949,0,Wheel_2_Link,0,0,-1,,,,,,,,,,,,
R7_2_Link,2.77555756156289E-17,3.05311331771918E-14,-2.20181173016254E-08,0,0,0,0.00124171276885342,3.0587474734128E-08,0,1.32348898008484E-23,3.0587474734128E-08,1.24077091882954E-24,1.65114577571948E-08,0,0,0,0,0,0,package://omnirobot/meshes/R7_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R7_2_Link.STL,,Ensamblaje1-3/lateral1-3,Coordinate System_R7_2,Axis_R7_2,R7_2_j,continuous,-0.00945300235838223,-0.00945300139565965,-0.0155,2.35619449019235,-1.5707963267949,0,Wheel_2_Link,0,0,1,,,,,,,,,,,,
R8_2_Link,1.37781452913543E-11,1.27311119687973E-05,2.19477151498088E-05,0,0,0,0.00124171276885342,3.05874747341273E-08,1.65436122510606E-24,1.40620704134015E-23,3.05874747341273E-08,1.65436122510606E-24,1.65114577571937E-08,0,0,0,0,0,0,package://omnirobot/meshes/R8_2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/R8_2_Link.STL,,Ensamblaje1-3/lateral1-1,Coordinate System_R8_2,Axis_R8_2,R8_2_j,continuous,-0.00943745529142354,0.00946851017358947,-0.0155000000137783,0.783869881584792,-1.5707963267949,0,Wheel_2_Link,0,0.00152828119574652,-0.999998832177611,,,,,,,,,,,,
Wheel_3_Link,-7.99038645218908E-06,9.97938771174489E-07,-0.00900540348345191,0,0,0,0.00633897374893947,5.96612355761527E-07,1.48206047681721E-10,-2.22744221399469E-10,5.9713604955066E-07,3.77455677673357E-11,9.07856943868467E-07,0,0,0,0,0,0,package://omnirobot/meshes/Wheel_3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://omnirobot/meshes/Wheel_3_Link.STL,,Ensamblaje1-5/RuedaOficial-1,Coordinate System_W3,Axis_W3,Wheel_3_j,continuous,-0.0837132034355964,0.0837132034355965,-0.02,1.5707963267949,0,-2.35619449019234,base_link,0,0,1,,,,,,,,,,,,
